Metric,Original_mean,Holistic_mean,Linguistic_mean,Shapiro_p,p_value,Effect_size,Test,Better
TTR,0.55515,0.4838,0.61485,0.903547279277159,2.4701102723533604e-07,-1.7424819250784016,t-test,Holistic
LD,0.5037,0.48030000000000006,0.5172000000000001,0.4102943190928988,0.0008409917583246236,-0.8853089955055977,t-test,Holistic
WR,0.4925,0.4194,0.45795,0.6403085585653486,0.00045529158382407077,-0.9454092338989266,t-test,Holistic
MDD,2.7401,2.4282999999999997,2.1536,0.3326672218764404,0.007424461525282338,0.6699632714382628,t-test,Linguistic
SI,0.29545,0.3354,0.2138,0.3661084777855068,0.0006047894812141774,0.9175872480940743,t-test,Linguistic
Cross,4.45,2.55,1.1,0.007961334452282106,0.018048336560293077,0.5,Wilcoxon,Linguistic
WSF,6.222499999999999,3.874,3.9979999999999998,0.3189168289941485,0.40491654537279353,-0.19047546899919135,t-test,Holistic
LIX,50.068999999999996,35.837,36.234500000000004,0.8683070157817586,0.7225229801388888,-0.0805880586408702,t-test,Holistic
FRE,39.875499999999995,65.886,64.062,0.4161544811067406,0.15084642851473398,0.3347178743453813,t-test,Holistic
Fog,15.936500000000004,9.9915,10.100000000000001,0.4375475347889109,0.7565937547795935,-0.07031684504104667,t-test,Holistic
