﻿,HIX_S,HIX_H,HIX_L,LIX_S,LIX_H,LIX_L
BN_1.txt,6.89,19.5,19.86,40.74,69.19,74.28
BN_2.txt,13.04,19.88,20,60.4,73.85,83.34
BN_3.txt,3.38,16.12,17.62,61.11,56.99,84.2
BN_4.txt,13.04,19.2,16.06,69.22,80.84,85.21
BN_5.txt,12.64,19.51,19.88,43.22,56.26,75.73
BN_6.txt,12.31,15.57,14.87,61.79,83.23,81.43
BN_7.txt,8.29,19.45,19.32,50.92,79.58,73.51
BN_8.txt,10.22,18.57,18.66,51.89,68.32,84.44
BN_9.txt,15.27,18.01,17.6,72.32,81.82,91.51
BN_10.txt,6.27,18.39,19.14,68.75,73.19,84.4
K_1.txt,10.85,15.83,17.52,57.83,83.07,89.89
K_2.txt,11.32,19.75,18.7,44.84,59.37,68.6
K_3.txt,9.47,17.44,15.36,60.81,74.65,62.81
K_4.txt,8.52,16.52,17.25,66.38,76.82,80.6
K_5.txt,12.99,17.82,19.53,45.13,67.9,74.51
K_6.txt,7.09,16.77,18.13,41.12,79.25,80.57
K_7.txt,9.29,18.27,17.92,70.2,73.95,72.2
K_8.txt,8.98,17.57,12.32,57.42,84.58,84.41
K_9.txt,11.59,18.99,18.18,49.28,83.75,74.9
K_10.txt,13.1,19.73,18.57,51.29,87.13,88.61
